City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Alice Springs,AU,-23.7,133.8833,45.95,76,48,8.05,scattered clouds
284,Pinawa,CA,50.1489,-95.8811,62.51,53,36,10.4,scattered clouds
285,Nurobod,UZ,40.9056,69.8023,73.67,31,0,2.33,clear sky
286,Williston,US,48.147,-103.618,74.14,42,79,4.0,broken clouds
287,Mahajanga,MG,-15.7167,46.3167,66.22,72,0,5.75,clear sky
288,Ibresi,RU,55.2961,47.0394,43.68,91,100,8.52,overcast clouds
289,Barkhan,PK,29.8977,69.5256,85.32,51,0,2.55,clear sky
290,Ternate,ID,0.8,127.4,82.44,71,46,3.15,scattered clouds
291,Konstantinovka,RU,49.6167,127.9833,74.73,72,2,3.18,clear sky
292,Yar-Sale,RU,66.8333,70.8333,50.74,61,100,14.12,overcast clouds
293,Praya,CV,14.9215,-23.5087,73.94,83,20,14.97,few clouds
294,Casablanca,MA,33.5928,-7.6192,68.32,68,0,8.99,clear sky
295,Vaitape,PF,-16.5167,-151.75,79.09,73,21,21.79,light rain
296,Acapulco,MX,16.8634,-99.8901,87.62,66,20,13.8,few clouds
297,Akranes,IS,64.3218,-22.0749,53.65,90,100,3.06,light rain
298,Nisia Floresta,BR,-6.0911,-35.2086,79.18,94,5,6.53,clear sky
299,Luderitz,NA,-26.6481,15.1594,68.65,39,49,3.04,scattered clouds
300,Dhidhdhoo,MV,6.8833,73.1,81.93,77,100,21.77,overcast clouds
301,Macia,MZ,-25.0269,33.0989,56.21,84,1,0.94,clear sky
302,Natal,BR,-5.795,-35.2094,79.02,89,20,6.91,few clouds
303,Farafangana,MG,-22.8167,47.8333,67.35,81,82,5.73,light rain
304,Ardakan,IR,32.31,54.0175,87.21,12,0,2.93,clear sky
305,Jumla,NP,29.2747,82.1838,63.54,98,100,1.16,light rain
306,Medea,DZ,36.2642,2.7539,68.95,69,92,3.83,overcast clouds
307,Fuerte Olimpo,PY,-21.0415,-57.8738,71.87,48,0,4.32,clear sky
308,Brae,GB,60.3964,-1.353,54.07,95,95,5.77,overcast clouds
309,Ostrovnoy,RU,68.0531,39.5131,50.47,93,80,10.94,broken clouds
310,Bundaberg,AU,-24.85,152.35,68.22,90,75,10.36,broken clouds
311,Queanbeyan,AU,-35.35,149.2333,44.6,92,100,3.44,light rain
312,Loubomo,CG,-4.1997,12.6739,66.69,96,58,4.32,broken clouds
313,Kautokeino,NO,69.0125,23.0412,55.02,84,39,4.43,scattered clouds
314,Makushino,RU,55.2103,67.2442,44.6,87,7,6.87,clear sky
315,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,53,0,8.05,clear sky
316,At-Bashi,KG,41.1702,75.8106,58.86,52,0,0.67,clear sky
317,Souillac,MU,-20.5167,57.5167,66.58,94,75,8.05,light intensity shower rain
318,Port Elizabeth,ZA,-33.918,25.5701,44.89,81,0,3.44,clear sky
319,Porto Novo,BJ,6.4965,2.6036,76.82,94,100,3.89,light rain
320,Steamboat Springs,US,40.485,-106.8317,74.79,50,0,6.91,clear sky
321,Kalmunai,LK,7.4167,81.8167,79.21,80,53,3.4,broken clouds
322,Carauari,BR,-4.8828,-66.8958,76.35,67,27,1.7,scattered clouds
323,Mount Isa,AU,-20.7333,139.5,51.57,100,100,8.05,moderate rain
324,Sept-Iles,CA,50.2001,-66.3821,68.0,58,75,12.66,broken clouds
325,Saint-Augustin,CA,51.226,-58.6502,57.07,82,97,4.43,overcast clouds
326,Mangaluru,IN,12.8667,74.8833,74.26,100,100,3.44,fog
327,San Fernando,PH,15.0286,120.6898,78.53,93,100,5.84,heavy intensity rain
328,Nikolskoye,RU,59.7035,30.7861,61.88,49,6,1.66,clear sky
329,Manaure,CO,11.7751,-72.4445,83.01,74,25,17.92,scattered clouds
330,Constitucion,CL,-35.3333,-72.4167,50.49,81,85,13.73,overcast clouds
331,Loandjili,CG,-4.7561,11.8578,71.71,94,75,2.3,mist
332,Envira,BR,-7.3,-70.2167,75.04,64,20,1.34,few clouds
333,Grindavik,IS,63.8424,-22.4338,53.55,93,100,6.91,light rain
334,Huarmey,PE,-10.0681,-78.1522,63.16,83,7,8.19,clear sky
335,Chapais,CA,49.7834,-74.8492,64.18,95,100,10.36,moderate rain
336,Tecoanapa,MX,16.5167,-98.75,84.65,74,66,10.83,broken clouds
337,Taoudenni,ML,22.6783,-3.9836,101.71,9,59,5.61,broken clouds
338,Lewisporte,CA,49.2499,-55.0482,67.71,94,100,4.45,light rain
339,Atambua,ID,-9.1061,124.8925,73.6,89,99,3.6,light rain
340,North Platte,US,41.1239,-100.7654,91.29,32,20,19.57,few clouds
341,Pangai,TO,-19.8,-174.35,80.71,78,75,8.05,broken clouds
342,Eskisehir,TR,39.7767,30.5206,60.71,94,0,2.3,clear sky
343,Yenagoa,NG,4.9247,6.2642,72.99,98,100,4.47,heavy intensity rain
344,Arkhara,RU,49.4212,130.0842,75.6,72,0,4.72,clear sky
345,Komsomolskiy,UZ,40.4272,71.7189,84.92,21,8,11.5,clear sky
